Tugas,Tanggal,Waktu ,Latitude,Longitude,Altitude,Cuaca,Suhu Udara,Precipitation,Kelembapan,NpK,pH,Foto
1,21/05/2024,9:51:00,"-8,5676851","115,4694639",2 mdpl,Cerah Berawan,28°C,10%,84%,"5",7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/tnh 1.jpg
2,21/05/2024,10:06:00,"-8,5676812","115,4099071",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,5",7,/Users/vignaulucas/Downloads/tnh 2.jpg
3,21/05/2024,10:08:00,"-8,567478","115,409755",2 mdpl,Cerah Berawan,28°C,10%,84%,6,7,/Users/vignaulucas/Downloads/tnh 3.jpg
4,21/05/2024,10:10:00,"-8,567190","115,410070",2 mdpl,Cerah Berawan,28°C,10%,84%,5,"6,9",/Users/vignaulucas/Downloads/tnh4.jpg
5,21/05/2024,10:13:00,"-8,567238","115,41096",2 mdpl,Cerah Berawan,28°C,10%,84%,6,7,/Users/vignaulucas/Downloads/tnh5.jpg
6,21/05/2024,10:16:00,"-8,567438","115,411080",2 mdpl,Cerah Berawan,28°C,10%,84%,6,7,/Users/vignaulucas/Downloads/tnh6.jpg
7,21/05/2024,10:18:00,"-8,567355","115,411423",1 mdpl,Cerah Berawan,28°C,10%,84%,"6,1",7,/Users/vignaulucas/Downloads/tnh7.jpg
8,21/05/2024,10:21:00,"-8,567854","115,411653",1 mdpl,Cerah Berawan,28°C,10%,84%,"4,9","6,9",/Users/vignaulucas/Downloads/tnh8.jpg
9,21/05/2024,10:22:00,"-8,567941","115,411646",1 mdpl,Cerah Berawan,28°C,10%,84%,"5,1","6,9",/Users/vignaulucas/Downloads/tnh9.jpg
10,21/05/2024,10:24:00,"-8,568350","115,411548",1 mdpl,Cerah Berawan,28°C,10%,84%,"5,1","6,8",/Users/vignaulucas/Downloads/tnh10.jpg
11,21/05/2024,10:31:00,"-8,568535","115,408873",2 mdpl,Cerah Berawan,28°C,10%,84%,5,7,/Users/vignaulucas/Downloads/11.jpg
12,21/05/2024,10:34:00,"-8,568321","115,408935",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,3","6,8",/Users/vignaulucas/Downloads/12.jpg
13,21/05/2024,10:35:00,"-8,568115","115,408935",2 mdpl,Cerah Berawan,28°C,10%,84%,5,"6,8",/Users/vignaulucas/Downloads/13.jpg
14,21/05/2024,10:36:00,"-8,567913","115,408968",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,5",7,/Users/vignaulucas/Downloads/14.jpg
15,21/05/2024,10:40:00,"-8,566528","115,409432",2 mdpl,Cerah Berawan,28°C,10%,84%,"4,5","6,2",/Users/vignaulucas/Downloads/15.jpg
16,21/05/2024,10:42:00,"-8,566528","115,409432",2 mdpl,Cerah Berawan,28°C,10%,84%,"4,1","6,5",/Users/vignaulucas/Downloads/16.jpg
17,21/05/2024,10:43:00,"-8,566347","115,409406",2 mdpl,Cerah Berawan,28°C,10%,84%,"4,9","6,2",/Users/vignaulucas/Downloads/17.jpg
18,21/05/2024,10:45:00,"-8,566369","115,409811",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,5","6,9",/Users/vignaulucas/Downloads/18.jpg
19,21/05/2024,10:47:00,"-8,565972","115,409832",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,2","6,8",/Users/vignaulucas/Downloads/19.jpg
20,21/05/2024,10:49:00,"-8,565959","115,409529",2 mdpl,Cerah Berawan,28°C,10%,84%,5,"6,5",/Users/vignaulucas/Downloads/20.jpg
21,21/05/2024,10:50:00,"-8,565915","115,409382",2 mdpl,Cerah Berawan,28°C,10%,84%,5,"6,7",/Users/vignaulucas/Downloads/21.jpg
22,21/05/2024,10:52:00,"-8,565633","115,409384",2 mdpl,Cerah Berawan,28°C,10%,84%,5,"6,7",/Users/vignaulucas/Downloads/22.jpg
23,21/05/2024,10:54:00,"-8,565389","115,409547",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,2","6,5",/Users/vignaulucas/Downloads/23.jpg
24,21/05/2024,10:56:00,"-8,564951","115,409413",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,5","6,5",/Users/vignaulucas/Downloads/24.jpg
25,21/05/2024,10:58:00,"-8,564770","115,409036",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,1","6,8",/Users/vignaulucas/Downloads/25.jpg
26,21/05/2024,11:00:00,"-8,564627","115,408980",2 mdpl,Cerah Berawan,28°C,10%,84%,6,7,/Users/vignaulucas/Downloads/26.jpg
27,21/05/2024,11:01:00,"-8,564476","115,408911",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,3","6,7",/Users/vignaulucas/Downloads/27.jpg
28,21/05/2024,11:03:00,"-8,564333","115,408881",2 mdpl,Cerah Berawan,28°C,10%,84%,"5,4","6,9",/Users/vignaulucas/Downloads/28.jpg
29,21/05/2024,11:05:00,"-8,564840","115,408989",2 mdpl,Cerah Berawan,28°C,10%,84%,"4,4","6,3",/Users/vignaulucas/Downloads/29.jpg
30,21/05/2024,11:07:00,"-8,565199","115,409251",2 mdpl,Cerah Berawan,28°C,10%,84%,4,"6,6",/Users/vignaulucas/Downloads/30.jpg