h,V,C,x
10RP,1,2,0.3629
10RP,1,4,0.3920
10RP,1,6,0.4151
10RP,1,8,0.4357
10RP,1,10,0.4521
10RP,1,12,0.4668
2.5R,1,2,0.3768
2.5R,1,4,0.4166
2.5R,1,6,0.4515
2.5R,1,8,0.4812
2.5R,1,10,0.5058
5R,1,2,0.3908
5R,1,4,0.4420
5R,1,6,0.4885
5R,1,8,0.5282
5R,1,10,0.5604
7.5R,1,2,0.4020
7.5R,1,4,0.4660
7.5R,1,6,0.5235
7.5R,1,8,0.5722
7.5R,1,10,0.6111
10R,1,2,0.4128
10R,1,4,0.4933
10R,1,6,0.5584
10R,1,8,0.6178
10R,1,10,0.6661
2.5YR,1,2,0.4258
2.5YR,1,4,0.5311
2.5YR,1,6,0.6048
2.5YR,1,8,0.6721
5YR,1,2,0.4377
5YR,1,4,0.5660
7.5YR,1,2,0.4430
10YR,1,2,0.4446
2.5Y,1,2,0.4362
5Y,1,2,0.4230
7.5Y,1,2,0.4042
10Y,1,2,0.3802
2.5GY,1,2,0.3540
5GY,1,2,0.3359
5GY,1,4,0.3765
7.5GY,1,2,0.3154
7.5GY,1,4,0.3133
10GY,1,2,0.3006
10GY,1,4,0.2722
10GY,1,6,0.2232
2.5G,1,2,0.2910
2.5G,1,4,0.2454
2.5G,1,6,0.1711
2.5G,1,8,0.0620
5G,1,2,0.2833
5G,1,4,0.2290
5G,1,6,0.1468
5G,1,8,0.0559
7.5G,1,2,0.2758
7.5G,1,4,0.2159
7.5G,1,6,0.1344
7.5G,1,8,0.0530
10G,1,2,0.2689
10G,1,4,0.2040
10G,1,6,0.1249
10G,1,8,0.0511
2.5BG,1,2,0.2600
2.5BG,1,4,0.1883
2.5BG,1,6,0.1169
2.5BG,1,8,0.0476
5BG,1,2,0.2500
5BG,1,4,0.1753
5BG,1,6,0.1093
7.5BG,1,2,0.2430
7.5BG,1,4,0.1702
7.5BG,1,6,0.1059
10BG,1,2,0.2362
10BG,1,4,0.1658
10BG,1,6,0.1074
2.5B,1,2,0.2322
2.5B,1,4,0.1649
2.5B,1,6,0.1118
5B,1,2,0.2291
5B,1,4,0.1667
5B,1,6,0.1212
7.5B,1,2,0.2291
7.5B,1,4,0.1716
7.5B,1,6,0.1303
7.5B,1,8,0.0968
10B,1,2,0.2309
10B,1,4,0.1783
10B,1,6,0.1392
10B,1,8,0.1077
2.5PB,1,2,0.2360
2.5PB,1,4,0.1895
2.5PB,1,6,0.1539
2.5PB,1,8,0.1273
5PB,1,2,0.2427
5PB,1,4,0.2012
5PB,1,6,0.1678
5PB,1,8,0.1447
5PB,1,10,0.1285
7.5PB,1,2,0.2547
7.5PB,1,4,0.2232
7.5PB,1,6,0.2000
7.5PB,1,8,0.1872
7.5PB,1,10,0.1804
7.5PB,1,12,0.1763
7.5PB,1,14,0.1738
7.5PB,1,16,0.1720
7.5PB,1,18,0.1709
7.5PB,1,20,0.1701
7.5PB,1,22,0.1696
7.5PB,1,24,0.1691
7.5PB,1,26,0.1689
7.5PB,1,28,0.1686
7.5PB,1,30,0.1684
7.5PB,1,32,0.1682
7.5PB,1,34,0.1682
7.5PB,1,36,0.1681
7.5PB,1,38,0.1680
10PB,1,2,0.2677
10PB,1,4,0.2459
10PB,1,6,0.2290
10PB,1,8,0.2190
10PB,1,10,0.2120
10PB,1,12,0.2070
10PB,1,14,0.2038
10PB,1,16,0.2008
10PB,1,18,0.1991
10PB,1,20,0.1976
10PB,1,22,0.1965
10PB,1,24,0.1952
10PB,1,26,0.1942
10PB,1,28,0.1936
10PB,1,30,0.1928
2.5P,1,2,0.2808
2.5P,1,4,0.2668
2.5P,1,6,0.2570
2.5P,1,8,0.2496
2.5P,1,10,0.2441
2.5P,1,12,0.2394
2.5P,1,14,0.2361
2.5P,1,16,0.2331
2.5P,1,18,0.2312
2.5P,1,20,0.2295
2.5P,1,22,0.2279
2.5P,1,24,0.2266
2.5P,1,26,0.2251
5P,1,2,0.2936
5P,1,4,0.2854
5P,1,6,0.2794
5P,1,8,0.2742
5P,1,10,0.2701
5P,1,12,0.2670
5P,1,14,0.2645
5P,1,16,0.2625
5P,1,18,0.2612
5P,1,20,0.2601
5P,1,22,0.2590
7.5P,1,2,0.3030
7.5P,1,4,0.2991
7.5P,1,6,0.2960
7.5P,1,8,0.2932
7.5P,1,10,0.2905
7.5P,1,12,0.2884
7.5P,1,14,0.2868
7.5P,1,16,0.2852
7.5P,1,18,0.2841
7.5P,1,20,0.2831
10P,1,2,0.3132
10P,1,4,0.3132
10P,1,6,0.3126
10P,1,8,0.3114
10P,1,10,0.3102
10P,1,12,0.3094
10P,1,14,0.3084
10P,1,16,0.3078
10P,1,18,0.3069
2.5RP,1,2,0.3240
2.5RP,1,4,0.3290
2.5RP,1,6,0.3321
2.5RP,1,8,0.3342
2.5RP,1,10,0.3354
2.5RP,1,12,0.3361
2.5RP,1,14,0.3368
2.5RP,1,16,0.3368
5RP,1,2,0.3378
5RP,1,4,0.3503
5RP,1,6,0.3588
5RP,1,8,0.3660
5RP,1,10,0.3727
5RP,1,12,0.3772
5RP,1,14,0.3811
7.5RP,1,2,0.3498
7.5RP,1,4,0.3705
7.5RP,1,6,0.3865
7.5RP,1,8,0.4005
7.5RP,1,10,0.4132
7.5RP,1,12,0.4240
10RP,2,2,0.3532
10RP,2,4,0.3850
10RP,2,6,0.4139
10RP,2,8,0.4428
10RP,2,10,0.4678
10RP,2,12,0.4911
10RP,2,14,0.5129
2.5R,2,2,0.3614
2.5R,2,4,0.4021
2.5R,2,6,0.4390
2.5R,2,8,0.4776
2.5R,2,10,0.5122
2.5R,2,12,0.5438
2.5R,2,14,0.5734
5R,2,2,0.3692
5R,2,4,0.4184
5R,2,6,0.4642
5R,2,8,0.5143
5R,2,10,0.5557
5R,2,12,0.5930
5R,2,14,0.6302
7.5R,2,2,0.3751
7.5R,2,4,0.4335
7.5R,2,6,0.4875
7.5R,2,8,0.5433
7.5R,2,10,0.5952
7.5R,2,12,0.6392
7.5R,2,14,0.6791
10R,2,2,0.3811
10R,2,4,0.4481
10R,2,6,0.5095
10R,2,8,0.5713
10R,2,10,0.6247
10R,2,12,0.6732
10R,2,14,0.7165
2.5YR,2,2,0.3852
2.5YR,2,4,0.4598
2.5YR,2,6,0.5280
2.5YR,2,8,0.5995
5YR,2,2,0.3880
5YR,2,4,0.4674
5YR,2,6,0.5426
7.5YR,2,2,0.3889
7.5YR,2,4,0.4690
7.5YR,2,6,0.5475
10YR,2,2,0.3872
10YR,2,4,0.4676
2.5Y,2,2,0.3825
2.5Y,2,4,0.4627
5Y,2,2,0.3757
5Y,2,4,0.4543
7.5Y,2,2,0.3660
7.5Y,2,4,0.4401
10Y,2,2,0.3556
10Y,2,4,0.4188
2.5GY,2,2,0.3421
2.5GY,2,4,0.3881
5GY,2,2,0.3309
5GY,2,4,0.3582
5GY,2,6,0.3839
7.5GY,2,2,0.3165
7.5GY,2,4,0.3248
7.5GY,2,6,0.3260
7.5GY,2,8,0.3160
10GY,2,2,0.3069
10GY,2,4,0.2986
10GY,2,6,0.2852
10GY,2,8,0.2628
10GY,2,10,0.2307
10GY,2,12,0.1907
2.5G,2,2,0.2978
2.5G,2,4,0.2763
2.5G,2,6,0.2493
2.5G,2,8,0.2192
2.5G,2,10,0.1773
2.5G,2,12,0.1307
2.5G,2,14,0.0820
2.5G,2,16,0.0329
5G,2,2,0.2918
5G,2,4,0.2640
5G,2,6,0.2318
5G,2,8,0.1979
5G,2,10,0.1560
5G,2,12,0.1120
5G,2,14,0.0688
5G,2,16,0.0277
7.5G,2,2,0.2869
7.5G,2,4,0.2540
7.5G,2,6,0.2200
7.5G,2,8,0.1842
7.5G,2,10,0.1442
7.5G,2,12,0.1022
7.5G,2,14,0.0629
7.5G,2,16,0.0276
10G,2,2,0.2820
10G,2,4,0.2442
10G,2,6,0.2092
10G,2,8,0.1705
10G,2,10,0.1321
10G,2,12,0.0934
10G,2,14,0.0599
10G,2,16,0.0285
2.5BG,2,2,0.2765
2.5BG,2,4,0.2343
2.5BG,2,6,0.1971
2.5BG,2,8,0.1557
2.5BG,2,10,0.1190
2.5BG,2,12,0.0851
2.5BG,2,14,0.0555
5BG,2,2,0.2697
5BG,2,4,0.2234
5BG,2,6,0.1843
5BG,2,8,0.1405
5BG,2,10,0.1050
5BG,2,12,0.0769
7.5BG,2,2,0.2651
7.5BG,2,4,0.2162
7.5BG,2,6,0.1747
7.5BG,2,8,0.1325
7.5BG,2,10,0.0991
7.5BG,2,12,0.0724
10BG,2,2,0.2606
10BG,2,4,0.2096
10BG,2,6,0.1669
10BG,2,8,0.1258
10BG,2,10,0.0929
2.5B,2,2,0.2578
2.5B,2,4,0.2060
2.5B,2,6,0.1621
2.5B,2,8,0.1230
2.5B,2,10,0.0911
5B,2,2,0.2559
5B,2,4,0.2048
5B,2,6,0.1617
5B,2,8,0.1245
5B,2,10,0.0965
7.5B,2,2,0.2545
7.5B,2,4,0.2063
7.5B,2,6,0.1658
7.5B,2,8,0.1313
7.5B,2,10,0.1051
10B,2,2,0.2558
10B,2,4,0.2102
10B,2,6,0.1716
10B,2,8,0.1396
10B,2,10,0.1157
2.5PB,2,2,0.2592
2.5PB,2,4,0.2175
2.5PB,2,6,0.1825
2.5PB,2,8,0.1540
2.5PB,2,10,0.1332
2.5PB,2,12,0.1166
5PB,2,2,0.2638
5PB,2,4,0.2263
5PB,2,6,0.1942
5PB,2,8,0.1685
5PB,2,10,0.1500
5PB,2,12,0.1363
5PB,2,14,0.1253
7.5PB,2,2,0.2712
7.5PB,2,4,0.2420
7.5PB,2,6,0.2189
7.5PB,2,8,0.2005
7.5PB,2,10,0.1882
7.5PB,2,12,0.1813
7.5PB,2,14,0.1762
7.5PB,2,16,0.1728
7.5PB,2,18,0.1701
7.5PB,2,20,0.1685
7.5PB,2,22,0.1670
7.5PB,2,24,0.1660
7.5PB,2,26,0.1653
7.5PB,2,28,0.1647
7.5PB,2,30,0.1640
7.5PB,2,32,0.1635
7.5PB,2,34,0.1630
7.5PB,2,36,0.1628
7.5PB,2,38,0.1623
10PB,2,2,0.2803
10PB,2,4,0.2600
10PB,2,6,0.2440
10PB,2,8,0.2294
10PB,2,10,0.2200
10PB,2,12,0.2139
10PB,2,14,0.2087
10PB,2,16,0.2052
10PB,2,18,0.2021
10PB,2,20,0.1998
10PB,2,22,0.1978
10PB,2,24,0.1962
10PB,2,26,0.1949
10PB,2,28,0.1937
10PB,2,30,0.1925
10PB,2,32,0.1918
10PB,2,34,0.1911
2.5P,2,2,0.2892
2.5P,2,4,0.2758
2.5P,2,6,0.2661
2.5P,2,8,0.2570
2.5P,2,10,0.2501
2.5P,2,12,0.2449
2.5P,2,14,0.2406
2.5P,2,16,0.2372
2.5P,2,18,0.2345
2.5P,2,20,0.2320
2.5P,2,22,0.2298
2.5P,2,24,0.2277
2.5P,2,26,0.2260
2.5P,2,28,0.2245
2.5P,2,30,0.2231
5P,2,2,0.2984
5P,2,4,0.2908
5P,2,6,0.2850
5P,2,8,0.2791
5P,2,10,0.2748
5P,2,12,0.2709
5P,2,14,0.2676
5P,2,16,0.2652
5P,2,18,0.2632
5P,2,20,0.2612
5P,2,22,0.2597
5P,2,24,0.2582
5P,2,26,0.2569
5P,2,28,0.2559
7.5P,2,2,0.3071
7.5P,2,4,0.3048
7.5P,2,6,0.3025
7.5P,2,8,0.3000
7.5P,2,10,0.2979
7.5P,2,12,0.2956
7.5P,2,14,0.2938
7.5P,2,16,0.2922
7.5P,2,18,0.2912
7.5P,2,20,0.2902
7.5P,2,22,0.2890
7.5P,2,24,0.2882
10P,2,2,0.3161
10P,2,4,0.3189
10P,2,6,0.3207
10P,2,8,0.3219
10P,2,10,0.3230
10P,2,12,0.3233
10P,2,14,0.3235
10P,2,16,0.3235
10P,2,18,0.3233
10P,2,20,0.3231
10P,2,22,0.3230
2.5RP,2,2,0.3279
2.5RP,2,4,0.3382
2.5RP,2,6,0.3470
2.5RP,2,8,0.3555
2.5RP,2,10,0.3617
2.5RP,2,12,0.3668
2.5RP,2,14,0.3711
2.5RP,2,16,0.3748
2.5RP,2,18,0.3778
2.5RP,2,20,0.3802
5RP,2,2,0.3383
5RP,2,4,0.3558
5RP,2,6,0.3708
5RP,2,8,0.3858
5RP,2,10,0.3971
5RP,2,12,0.4080
5RP,2,14,0.4180
5RP,2,16,0.4269
5RP,2,18,0.4338
7.5RP,2,2,0.3459
7.5RP,2,4,0.3702
7.5RP,2,6,0.3918
7.5RP,2,8,0.4137
7.5RP,2,10,0.4321
7.5RP,2,12,0.4481
7.5RP,2,14,0.4624
7.5RP,2,16,0.4744
10RP,3,2,0.3526
10RP,3,4,0.3889
10RP,3,6,0.4218
10RP,3,8,0.4552
10RP,3,10,0.4851
10RP,3,12,0.5139
10RP,3,14,0.5380
10RP,3,16,0.5628
2.5R,3,2,0.3591
2.5R,3,4,0.4021
2.5R,3,6,0.4409
2.5R,3,8,0.4821
2.5R,3,10,0.5191
2.5R,3,12,0.5536
2.5R,3,14,0.5828
2.5R,3,16,0.6116
5R,3,2,0.3645
5R,3,4,0.4148
5R,3,6,0.4592
5R,3,8,0.5064
5R,3,10,0.5500
5R,3,12,0.5884
5R,3,14,0.6204
5R,3,16,0.6520
7.5R,3,2,0.3690
7.5R,3,4,0.4240
7.5R,3,6,0.4738
7.5R,3,8,0.5251
7.5R,3,10,0.5730
7.5R,3,12,0.6158
7.5R,3,14,0.6492
7.5R,3,16,0.6817
10R,3,2,0.3728
10R,3,4,0.4308
10R,3,6,0.4854
10R,3,8,0.5393
10R,3,10,0.5871
10R,3,12,0.6322
10R,3,14,0.6703
2.5YR,3,2,0.3757
2.5YR,3,4,0.4360
2.5YR,3,6,0.4954
2.5YR,3,8,0.5475
2.5YR,3,10,0.5941
5YR,3,2,0.3771
5YR,3,4,0.4376
5YR,3,6,0.4966
5YR,3,8,0.5456
7.5YR,3,2,0.3771
7.5YR,3,4,0.4378
7.5YR,3,6,0.4930
7.5YR,3,8,0.5390
10YR,3,2,0.3747
10YR,3,4,0.4341
10YR,3,6,0.4872
10YR,3,8,0.5305
2.5Y,3,2,0.3703
2.5Y,3,4,0.4277
2.5Y,3,6,0.4784
5Y,3,2,0.3646
5Y,3,4,0.4191
5Y,3,6,0.4670
7.5Y,3,2,0.3589
7.5Y,3,4,0.4086
7.5Y,3,6,0.4526
10Y,3,2,0.3513
10Y,3,4,0.3961
10Y,3,6,0.4345
2.5GY,3,2,0.3412
2.5GY,3,4,0.3772
2.5GY,3,6,0.4069
5GY,3,2,0.3319
5GY,3,4,0.3554
5GY,3,6,0.3750
5GY,3,8,0.3924
7.5GY,3,2,0.3180
7.5GY,3,4,0.3270
7.5GY,3,6,0.3333
7.5GY,3,8,0.3341
7.5GY,3,10,0.3266
10GY,3,2,0.3088
10GY,3,4,0.3053
10GY,3,6,0.2992
10GY,3,8,0.2887
10GY,3,10,0.2724
10GY,3,12,0.2531
10GY,3,14,0.2283
2.5G,3,2,0.2999
2.5G,3,4,0.2836
2.5G,3,6,0.2642
2.5G,3,8,0.2435
2.5G,3,10,0.2170
2.5G,3,12,0.1902
2.5G,3,14,0.1626
2.5G,3,16,0.1341
2.5G,3,18,0.1049
2.5G,3,20,0.0720
2.5G,3,22,0.0390
5G,3,2,0.2935
5G,3,4,0.2711
5G,3,6,0.2471
5G,3,8,0.2228
5G,3,10,0.1935
5G,3,12,0.1660
5G,3,14,0.1382
5G,3,16,0.1120
5G,3,18,0.0882
5G,3,20,0.0620
5G,3,22,0.0340
7.5G,3,2,0.2890
7.5G,3,4,0.2618
7.5G,3,6,0.2346
7.5G,3,8,0.2088
7.5G,3,10,0.1800
7.5G,3,12,0.1516
7.5G,3,14,0.1262
7.5G,3,16,0.1023
7.5G,3,18,0.0798
7.5G,3,20,0.0568
7.5G,3,22,0.0332
10G,3,2,0.2844
10G,3,4,0.2525
10G,3,6,0.2240
10G,3,8,0.1970
10G,3,10,0.1688
10G,3,12,0.1411
10G,3,14,0.1161
10G,3,16,0.0925
10G,3,18,0.0718
10G,3,20,0.0528
10G,3,22,0.0333
2.5BG,3,2,0.2799
2.5BG,3,4,0.2437
2.5BG,3,6,0.2132
2.5BG,3,8,0.1845
2.5BG,3,10,0.1552
2.5BG,3,12,0.1288
2.5BG,3,14,0.1051
2.5BG,3,16,0.0843
2.5BG,3,18,0.0648
2.5BG,3,20,0.0482
5BG,3,2,0.2742
5BG,3,4,0.2343
5BG,3,6,0.2020
5BG,3,8,0.1703
5BG,3,10,0.1410
5BG,3,12,0.1158
5BG,3,14,0.0940
5BG,3,16,0.0735
5BG,3,18,0.0580
7.5BG,3,2,0.2699
7.5BG,3,4,0.2272
7.5BG,3,6,0.1928
7.5BG,3,8,0.1620
7.5BG,3,10,0.1326
7.5BG,3,12,0.1086
7.5BG,3,14,0.0874
7.5BG,3,16,0.0691
10BG,3,2,0.2660
10BG,3,4,0.2221
10BG,3,6,0.1861
10BG,3,8,0.1551
10BG,3,10,0.1250
10BG,3,12,0.1018
10BG,3,14,0.0798
2.5B,3,2,0.2636
2.5B,3,4,0.2183
2.5B,3,6,0.1826
2.5B,3,8,0.1511
2.5B,3,10,0.1220
2.5B,3,12,0.0989
5B,3,2,0.2617
5B,3,4,0.2176
5B,3,6,0.1835
5B,3,8,0.1527
5B,3,10,0.1259
5B,3,12,0.1042
7.5B,3,2,0.2616
7.5B,3,4,0.2200
7.5B,3,6,0.1875
7.5B,3,8,0.1583
7.5B,3,10,0.1343
7.5B,3,12,0.1131
10B,3,2,0.2631
10B,3,4,0.2246
10B,3,6,0.1933
10B,3,8,0.1658
10B,3,10,0.1432
10B,3,12,0.1228
10B,3,14,0.1065
2.5PB,3,2,0.2663
2.5PB,3,4,0.2312
2.5PB,3,6,0.2022
2.5PB,3,8,0.1780
2.5PB,3,10,0.1576
2.5PB,3,12,0.1398
2.5PB,3,14,0.1251
5PB,3,2,0.2708
5PB,3,4,0.2393
5PB,3,6,0.2122
5PB,3,8,0.1908
5PB,3,10,0.1718
5PB,3,12,0.1557
5PB,3,14,0.1431
5PB,3,16,0.1318
5PB,3,18,0.1228
7.5PB,3,2,0.2777
7.5PB,3,4,0.2520
7.5PB,3,6,0.2311
7.5PB,3,8,0.2149
7.5PB,3,10,0.2005
7.5PB,3,12,0.1903
7.5PB,3,14,0.1824
7.5PB,3,16,0.1765
7.5PB,3,18,0.1730
7.5PB,3,20,0.1702
7.5PB,3,22,0.1677
7.5PB,3,24,0.1658
7.5PB,3,26,0.1642
7.5PB,3,28,0.1632
7.5PB,3,30,0.1621
7.5PB,3,32,0.1612
7.5PB,3,34,0.1608
10PB,3,2,0.2847
10PB,3,4,0.2660
10PB,3,6,0.2511
10PB,3,8,0.2387
10PB,3,10,0.2278
10PB,3,12,0.2206
10PB,3,14,0.2142
10PB,3,16,0.2092
10PB,3,18,0.2060
10PB,3,20,0.2030
10PB,3,22,0.2004
10PB,3,24,0.1982
10PB,3,26,0.1963
10PB,3,28,0.1950
10PB,3,30,0.1938
10PB,3,32,0.1926
10PB,3,34,0.1918
2.5P,3,2,0.2922
2.5P,3,4,0.2792
2.5P,3,6,0.2691
2.5P,3,8,0.2615
2.5P,3,10,0.2548
2.5P,3,12,0.2498
2.5P,3,14,0.2449
2.5P,3,16,0.2410
2.5P,3,18,0.2380
2.5P,3,20,0.2354
2.5P,3,22,0.2329
2.5P,3,24,0.2305
2.5P,3,26,0.2286
2.5P,3,28,0.2268
2.5P,3,30,0.2252
2.5P,3,32,0.2242
2.5P,3,34,0.2230
5P,3,2,0.2997
5P,3,4,0.2928
5P,3,6,0.2870
5P,3,8,0.2819
5P,3,10,0.2772
5P,3,12,0.2739
5P,3,14,0.2707
5P,3,16,0.2680
5P,3,18,0.2657
5P,3,20,0.2639
5P,3,22,0.2620
5P,3,24,0.2602
5P,3,26,0.2590
5P,3,28,0.2579
5P,3,30,0.2568
5P,3,32,0.2557
7.5P,3,2,0.3088
7.5P,3,4,0.3072
7.5P,3,6,0.3057
7.5P,3,8,0.3037
7.5P,3,10,0.3020
7.5P,3,12,0.3003
7.5P,3,14,0.2992
7.5P,3,16,0.2981
7.5P,3,18,0.2969
7.5P,3,20,0.2961
7.5P,3,22,0.2953
7.5P,3,24,0.2944
7.5P,3,26,0.2938
7.5P,3,28,0.2930
7.5P,3,30,0.2922
10P,3,2,0.3170
10P,3,4,0.3214
10P,3,6,0.3243
10P,3,8,0.3269
10P,3,10,0.3286
10P,3,12,0.3301
10P,3,14,0.3309
10P,3,16,0.3320
10P,3,18,0.3329
10P,3,20,0.3332
10P,3,22,0.3340
10P,3,24,0.3341
10P,3,26,0.3343
2.5RP,3,2,0.3272
2.5RP,3,4,0.3400
2.5RP,3,6,0.3501
2.5RP,3,8,0.3598
2.5RP,3,10,0.3681
2.5RP,3,12,0.3754
2.5RP,3,14,0.3818
2.5RP,3,16,0.3876
2.5RP,3,18,0.3929
2.5RP,3,20,0.3969
2.5RP,3,22,0.4018
5RP,3,2,0.3370
5RP,3,4,0.3586
5RP,3,6,0.3765
5RP,3,8,0.3930
5RP,3,10,0.4073
5RP,3,12,0.4199
5RP,3,14,0.4313
5RP,3,16,0.4418
5RP,3,18,0.4503
5RP,3,20,0.4577
7.5RP,3,2,0.3450
7.5RP,3,4,0.3739
7.5RP,3,6,0.3990
7.5RP,3,8,0.4234
7.5RP,3,10,0.4445
7.5RP,3,12,0.4654
7.5RP,3,14,0.4831
7.5RP,3,16,0.4991
7.5RP,3,18,0.5130
10RP,4,2,0.3417
10RP,4,4,0.3715
10RP,4,6,0.3999
10RP,4,8,0.4282
10RP,4,10,0.4528
10RP,4,12,0.4789
10RP,4,14,0.5020
10RP,4,16,0.5234
10RP,4,18,0.5466
10RP,4,20,0.5674
2.5R,4,2,0.3461
2.5R,4,4,0.3806
2.5R,4,6,0.4141
2.5R,4,8,0.4472
2.5R,4,10,0.4774
2.5R,4,12,0.5072
2.5R,4,14,0.5369
2.5R,4,16,0.5620
2.5R,4,18,0.5898
5R,4,2,0.3508
5R,4,4,0.3916
5R,4,6,0.4299
5R,4,8,0.4690
5R,4,10,0.5043
5R,4,12,0.5385
5R,4,14,0.5734
5R,4,16,0.6039
5R,4,18,0.6329
7.5R,4,2,0.3538
7.5R,4,4,0.3990
7.5R,4,6,0.4415
7.5R,4,8,0.4850
7.5R,4,10,0.5235
7.5R,4,12,0.5603
7.5R,4,14,0.5959
7.5R,4,16,0.6260
7.5R,4,18,0.6538
7.5R,4,20,0.6806
10R,4,2,0.3582
10R,4,4,0.4078
10R,4,6,0.4535
10R,4,8,0.4995
10R,4,10,0.5418
10R,4,12,0.5801
10R,4,14,0.6154
10R,4,16,0.6409
2.5YR,4,2,0.3624
2.5YR,4,4,0.4141
2.5YR,4,6,0.4612
2.5YR,4,8,0.5071
2.5YR,4,10,0.5475
2.5YR,4,12,0.5809
5YR,4,2,0.3651
5YR,4,4,0.4187
5YR,4,6,0.4651
5YR,4,8,0.5070
5YR,4,10,0.5432
5YR,4,12,0.5729
7.5YR,4,2,0.3662
7.5YR,4,4,0.4208
7.5YR,4,6,0.4655
7.5YR,4,8,0.5038
7.5YR,4,10,0.5356
10YR,4,2,0.3660
10YR,4,4,0.4189
10YR,4,6,0.4618
10YR,4,8,0.4965
10YR,4,10,0.5250
2.5Y,4,2,0.3633
2.5Y,4,4,0.4138
2.5Y,4,6,0.4542
2.5Y,4,8,0.4865
2.5Y,4,10,0.5120
5Y,4,2,0.3590
5Y,4,4,0.4069
5Y,4,6,0.4451
5Y,4,8,0.4745
7.5Y,4,2,0.3542
7.5Y,4,4,0.3982
7.5Y,4,6,0.4331
7.5Y,4,8,0.4595
10Y,4,2,0.3476
10Y,4,4,0.3871
10Y,4,6,0.4190
10Y,4,8,0.4430
2.5GY,4,2,0.3382
2.5GY,4,4,0.3708
2.5GY,4,6,0.3968
2.5GY,4,8,0.4174
5GY,4,2,0.3312
5GY,4,4,0.3538
5GY,4,6,0.3718
5GY,4,8,0.3868
5GY,4,10,0.3983
7.5GY,4,2,0.3185
7.5GY,4,4,0.3281
7.5GY,4,6,0.3355
7.5GY,4,8,0.3400
7.5GY,4,10,0.3395
7.5GY,4,12,0.3348
10GY,4,2,0.3109
10GY,4,4,0.3100
10GY,4,6,0.3069
10GY,4,8,0.3008
10GY,4,10,0.2908
10GY,4,12,0.2758
10GY,4,14,0.2590
10GY,4,16,0.2422
2.5G,4,2,0.3012
2.5G,4,4,0.2891
2.5G,4,6,0.2735
